"participant_id","list_number","verb","verb_type","sentence_pair_id","sentence_1","sentence_2","same_sense","dissimilarity","response_time_ms"
"2a58a2ce-0b77-477e-87a7-d98fe3d6cd9a",5,"shoot","manner","pair001","The director shot the scene.","The athlete shot the ball.",0,87,14933
"2a58a2ce-0b77-477e-87a7-d98fe3d6cd9a",5,"shoot","manner","pair002","The hunter shot the deer.","The technician shot the fireworks.",0,67,3141
"2a58a2ce-0b77-477e-87a7-d98fe3d6cd9a",5,"kill","result","pair003","The business killed the competition.","The mistake killed the proposal.",0,42,5238
"2a58a2ce-0b77-477e-87a7-d98fe3d6cd9a",5,"pull","manner","pair004","The business pulled the service.","The climber pulled the rope.",0,95,8792
"2a58a2ce-0b77-477e-87a7-d98fe3d6cd9a",5,"clear","result","pair005","The horse cleared the jump.","The worker cleared the rubble.",0,74,4406
"2a58a2ce-0b77-477e-87a7-d98fe3d6cd9a",5,"fold","result","pair006","The manager folded the project.","The chef folded the eggs.",0,85,3546
"2a58a2ce-0b77-477e-87a7-d98fe3d6cd9a",5,"bump","manner","pair007","The dean bumped the meeting.","The gardener bumped the statue.",1,96,5727
"2a58a2ce-0b77-477e-87a7-d98fe3d6cd9a",5,"fill","result","pair008","The donations filled the need.","The farmer filled the bucket.",0,62,4114
"2a58a2ce-0b77-477e-87a7-d98fe3d6cd9a",5,"hit","manner","pair009","The traveler hit the delay.","The hurricane hit the coastline.",1,91,3397
"2a58a2ce-0b77-477e-87a7-d98fe3d6cd9a",5,"hit","manner","pair010","The solution hit the inventor.","The idea hit the researcher.",1,11,6334
"2a58a2ce-0b77-477e-87a7-d98fe3d6cd9a",5,"clear","result","pair011","The waiter cleared the table.","The worker cleared the rubble.",1,32,6548
"2a58a2ce-0b77-477e-87a7-d98fe3d6cd9a",5,"break","result","pair012","The president broke the promise.","The company broke the law.",1,26,3291
"2a58a2ce-0b77-477e-87a7-d98fe3d6cd9a",5,"close","result","pair013","The lawyer closed the case.","The author closed the chapter.",0,58,4437
"2a58a2ce-0b77-477e-87a7-d98fe3d6cd9a",5,"pull","manner","pair014","The advertisement pulled the customers.","The worker pulled the lever.",0,91,3330
