sentence_id,sentence_text,wh_word,wh_lemma,wh_pos,wh_feats,wh_position,gap_position,gap_word,gap_lemma,gap_pos,linear_distance,deprel,deprel_subtype,enhanced_deps,num_enhanced_deps,intervening_clauses,direction
9,It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam.,who,who,PRON,PronType=Rel,10,13,working,work,VERB,3,nsubj,NONE,9:ref,1,0,forward
14,"(Kut is in southeastern Iraq and has an overwhelmingly Shiite population, who are on the lookout for Baathist saboteurs and willingly turn them in.",who,who,PRON,PronType=Rel,14,18,lookout,lookout,NOUN,4,nsubj,NONE,12:ref,1,0,forward
21,"Guerrillas near Hawijah launched an attack that left 6 dead, including 4 Iraqi soldiers.",that,that,PRON,PronType=Rel,7,8,left,leave,VERB,1,nsubj,NONE,6:ref,1,0,forward
30,"Chalabi has been increasingly marginalized within Iraq, however, despite his ties of clientelage with Washington and Tehran.",however,however,ADV,_,9,5,marginalized,marginalize,VERB,4,advmod,NONE,5:advmod,1,0,backward
41,"Baghdadis don't venture much out of their neighbourhoods any more, you never know where you might get stuck.",where,where,ADV,PronType=Int,16,19,get,get,VERB,3,advmod,NONE,19:advmod,1,0,forward
45,"Yesterday there were tens of them putting road blocks on our street and setting up mortars, they only come out in the open when Americans leave the area, then they start firing mortars indiscriminately and shooting their AK-47's in the air.",when,when,ADV,PronType=Int,25,27,leave,leave,VERB,2,advmod,NONE,27:advmod,1,0,forward
46,"They are setting the road blocks at the exact same positions they were during the war last year, which indicates they are the same people.",which,which,PRON,PronType=Rel,20,21,indicates,indicate,VERB,1,nsubj,NONE,3:ref,1,0,forward
47,"And there is nothing we can do about it really, people who are suggesting that we go out and fight them are living in dream land.",who,who,PRON,PronType=Rel,13,15,suggesting,suggest,VERB,2,nsubj,NONE,12:ref,1,0,forward
48,"Even the IP and ICDC have abandoned the neighbourhood, and those are trained and armed, so don't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank doesn't bomb them, and also how are American soldiers going to distinguish the brave and valiant civilians from the Fedayeen?",how,how,ADV,PronType=Int,45,49,going,go,VERB,4,advmod,NONE,49:advmod,1,0,forward
50,"Most people haven't gone to work the last few days, although it seems that the rest of Baghdad is 'normal' (if you can define what normal is).",what,what,PRON,PronType=Rel,30,29,define,define,VERB,1,obj,NONE,29:obj,1,0,backward
