"case","fold","factive","embedding","n_ratings","lpd_factivity","lpd_environment","elpd_difference"
1,1,"no","conditional",9,-13.7864937964869,-13.8331304414958,-0.0466366450088511
18,1,"no","modal",9,-14.4282540338909,-14.1140429775241,0.31421105636672
20,1,"no","modal",8,-14.8068555064033,-14.6965495713802,0.110305935023131
21,1,"no","modal",8,-16.6598218748434,-15.8980138363412,0.761808038502215
22,1,"no","modal",8,-16.3700331732365,-15.5722310509664,0.797802122270138
33,1,"no","modal",9,-18.5518722555661,-18.4483597126098,0.103512542956274
38,1,"no","modal",9,-15.0327539168801,-14.9698565721888,0.0628973446912493
43,1,"no","modal",9,-19.8070091761632,-19.2841041189035,0.522905057259685
46,1,"yes","modal",8,-7.90999444948508,-7.57028728259504,0.339707166890031
47,1,"no","negation",13,-23.0696371681724,-23.3383342157495,-0.268697047577152
48,1,"no","negation",9,-16.1332185663327,-15.888924857098,0.244293709234727
54,1,"no","negation",9,-16.4662474423249,-16.1677730230164,0.298474419308434
59,1,"no","negation",9,-22.313160409765,-22.1870587035228,0.12610170624221
62,1,"no","negation",8,-11.714996010907,-11.3578665423118,0.357129468595195
70,1,"yes","negation",10,-13.0607659963084,-13.1011842668852,-0.0404182705767511
71,1,"yes","conditional",9,-10.323532341208,-9.8752881687281,0.448244172479912
77,1,"no","negation",8,-15.106378062481,-14.971018685145,0.135359377336005
78,1,"no","negation",9,-20.6182175926016,-20.6712885156251,-0.0530709230234692
80,1,"no","negation",9,-11.8588140969816,-12.7967702782354,-0.93795618125384
85,1,"no","negation",8,-18.5683589411948,-18.5770032456504,-0.00864430445555087
88,1,"no","negation",8,-14.5031647833865,-14.6189517387286,-0.115786955342093
97,1,"yes","question",8,-7.85190930135824,-7.20184535033541,0.650063951022833
103,1,"yes","negation",8,-10.828338864516,-11.2480730980856,-0.419734233569615
106,1,"yes","negation",10,-17.0431531405301,-16.7245119625608,0.318641177969354
109,1,"yes","negation",10,-17.473319449764,-17.4815441087308,-0.00822465896685998
120,1,"yes","negation",8,-16.4151047785086,-16.2508121449226,0.164292633585958
127,1,"no","negation",8,-9.98844290013686,-9.37913226077335,0.609310639363517
128,1,"no","negation",8,-17.1557671868869,-16.8044615161916,0.351305670695311
134,1,"no","negation",9,-12.8906009705488,-12.3761906500917,0.514410320457124
138,1,"no","negation",8,-16.5721863386288,-15.9456936398114,0.626492698817421
148,1,"yes","negation",8,-13.3885225176243,-13.2838728953694,0.104649622254914
153,1,"yes","negation",8,-6.43735676729968,-6.57987232378054,-0.142515556480862
157,1,"yes","negation",9,-9.68457776054237,-9.87364476942864,-0.189067008886271
164,1,"yes","negation",8,-18.2036464412468,-18.0306036073671,0.173042833879748
169,1,"yes","negation",9,-12.3671757569566,-13.1832152859264,-0.816039528969778
174,1,"no","negation",8,-14.3472147816651,-15.2096595872489,-0.862444805583733
177,1,"no","negation",9,-16.3348395301155,-16.8519648036061,-0.517125273490624
183,1,"yes","conditional",9,-17.4329128803563,-17.6669279212676,-0.23401504091132
196,1,"yes","conditional",8,-6.22963354953049,-5.61977405705407,0.609859492476419
202,1,"no","negation",8,-17.1602367998118,-16.7374891899858,0.422747609825969
204,1,"no","negation",8,-12.7878491021367,-13.0009557511632,-0.2131066490265
205,1,"no","negation",8,-14.268941504046,-14.3650245642052,-0.0960830601591489
211,1,"no","negation",8,-10.1409682780744,-9.87141720776941,0.269551070305013
214,1,"no","negation",9,-16.9916834510032,-17.4842055235936,-0.492522072590408
215,1,"no","negation",8,-10.1275876958187,-9.92130628986,0.206281405958666
224,1,"no","negation",8,-13.123025620607,-13.0399542495407,0.0830713710663229
230,1,"no","negation",8,-18.7867846798393,-18.8351805572693,-0.0483958774300142
231,1,"no","negation",9,-19.6738761272861,-19.9009144804693,-0.227038353183222
233,1,"no","negation",9,-14.8794224724109,-14.6250418679985,0.254380604412336
238,1,"no","negation",9,-19.5108098557717,-19.3886838691114,0.122125986660276
242,1,"no","negation",9,-17.5738124571083,-17.4202152503477,0.153597206760594
243,1,"no","negation",9,-13.5405798217249,-13.3186661736188,0.221913648106053
244,1,"yes","conditional",8,-12.973090381739,-12.6220948901903,0.350995491548623
252,1,"no","negation",10,-15.1069094047811,-14.8757061552466,0.231203249534511
257,1,"no","question",8,-10.9331281499121,-10.7753013730278,0.157826776884216
263,1,"no","question",8,-9.47354789293603,-10.182254107041,-0.708706214104975
264,1,"no","question",9,-16.157478821741,-15.7576354732701,0.399843348470856
268,1,"yes","question",9,-4.71510495608688,-4.37994463575416,0.335160320332721
272,1,"no","question",9,-15.1826619849844,-16.0363908433998,-0.853728858415417
278,1,"yes","conditional",12,-17.5977765274127,-17.5816454617513,0.0161310656613693
282,1,"yes","question",8,-10.2163404346978,-9.64839804846203,0.567942386235755
286,1,"no","conditional",8,-14.0904207659535,-13.7568747790483,0.333545986905163
302,1,"no","question",8,-20.0638030953719,-20.1073608499469,-0.0435577545750334
303,1,"no","question",8,-14.2124921190518,-14.8145709214957,-0.602078802443971
306,1,"yes","question",9,-11.7853464287756,-11.2732751662944,0.512071262481243
308,1,"yes","question",8,-13.6224570347424,-13.6278950889971,-0.00543805425472854
313,1,"no","question",8,-11.9592834943573,-13.1385101961621,-1.17922670180483
316,1,"no","conditional",8,-15.4282220157822,-15.0120914463699,0.416130569412354
334,1,"no","question",8,-11.7199323430628,-12.5483660861437,-0.8284337430809
340,1,"no","conditional",8,-17.7877878189068,-17.6323581406326,0.15542967827411
342,1,"no","conditional",8,-14.7860589643405,-14.6083185118139,0.177740452526532
353,1,"no","conditional",8,-15.4724376024051,-15.2361505432367,0.236287059168378
354,1,"no","conditional",8,-7.2864072100565,-7.1268883548193,0.159518855237203
357,1,"no","conditional",8,-15.6810973767304,-16.0028134397488,-0.321716063018421
360,1,"no","conditional",9,-17.0939889082696,-17.5004264681391,-0.406437559869488
372,1,"no","conditional",8,-18.2689346488812,-18.6498301891728,-0.380895540291647
374,1,"no","question",8,-18.0085160692109,-18.2398616488323,-0.231345579621344
377,1,"no","conditional",8,-15.4319359173306,-15.3114216821204,0.120514235210177
381,1,"no","conditional",9,-14.3256928976204,-13.8569862958082,0.468706601812135
389,1,"no","conditional",9,-20.7899739838635,-20.4877155271971,0.302258456666401
393,1,"no","conditional",8,-6.33791450085523,-7.98982789324554,-1.6519133923903
399,1,"no","modal",8,-15.5730917269721,-14.945355580044,0.627736146928129
413,1,"yes","modal",9,-16.0774277995696,-15.8807700487242,0.196657750845375
414,1,"yes","modal",9,-7.58300489297145,-7.34128814143457,0.241716751536879
423,1,"no","modal",8,-14.1607699390178,-14.5837588823102,-0.422988943292374
425,1,"no","modal",8,-12.3507051961598,-12.0658361213443,0.284869074815429
438,1,"no","modal",9,-14.1053132001236,-14.1001879163251,0.00512528379846522
448,1,"yes","modal",8,-13.6617861973488,-15.0535564449848,-1.39177024763599
449,1,"yes","modal",8,-11.7825642853462,-12.1798912240961,-0.39732693874987
453,1,"no","modal",9,-14.5160827448604,-14.3959702085808,0.120112536279571
456,1,"yes","modal",9,-16.8405781171802,-16.7519251362492,0.088652980931073
460,1,"no","modal",10,-17.9193453531304,-17.695415960983,0.223929392147365
461,1,"no","modal",12,-24.3855508377386,-24.4500471606537,-0.0644963229150903
473,1,"no","negation",10,-16.0901063906957,-15.8512988598285,0.238807530867263
476,1,"no","negation",10,-16.3288593913555,-16.1293807502836,0.199478641071895
483,1,"no","negation",8,-13.5562508544043,-13.1321620933148,0.424088761089591
486,1,"no","negation",8,-10.0077448198341,-9.7887957622908,0.218949057543288
488,1,"no","negation",10,-12.2642809313422,-11.9877114049285,0.276569526413695
491,1,"no","negation",12,-24.5601100042382,-24.3301254608872,0.229984543351023
