"discourse","annotator","predicate","rating","embedding","modal_type","factive","genre"
"BNC-1","A2BA9Y6VGW6WS1","admit",2,"conditional","none","no","BNC"
"BNC-1","A1945USNZHTROX","admit",3,"conditional","none","no","BNC"
"BNC-1","A1F3P6N7BO9HBN","admit",3,"conditional","none","no","BNC"
"BNC-1","AFN5VMMGYPF1I","admit",1,"conditional","none","no","BNC"
"BNC-1","A36SM7QM8OK3H6","admit",3,"conditional","none","no","BNC"
"BNC-1","A2W8ZV9DQWVHJK","admit",1,"conditional","none","no","BNC"
"BNC-1","A150GMV1YQWWB3","admit",2,"conditional","none","no","BNC"
"BNC-1","A3LJ2FHESYV9QQ","admit",1,"conditional","none","no","BNC"
"BNC-1","A25YG9M911WA3T","admit",2,"conditional","none","no","BNC"
"BNC-1002","A1U8RH67FLZW87","say",2,"modal","CI","no","BNC"
"BNC-1002","A36SM7QM8OK3H6","say",1,"modal","CI","no","BNC"
"BNC-1002","A32QJF67JMJFKX","say",3,"modal","CI","no","BNC"
"BNC-1002","A5EU1AQJNC7F2","say",1,"modal","CI","no","BNC"
"BNC-1002","AFYN9EPN2X2SO","say",2,"modal","CI","no","BNC"
"BNC-1002","A1KGCOR8OXYR72","say",2,"modal","CI","no","BNC"
"BNC-1002","A25YG9M911WA3T","say",3,"modal","CI","no","BNC"
"BNC-1002","AG0X3PQK2FWQJ","say",1,"modal","CI","no","BNC"
"BNC-1003","AKLV0WIZZ356X","say",2,"modal","AB","no","BNC"
"BNC-1003","A32QJF67JMJFKX","say",0,"modal","AB","no","BNC"
"BNC-1003","A36SM7QM8OK3H6","say",1,"modal","AB","no","BNC"
"BNC-1003","A1SIUJEL2LS8UO","say",0,"modal","AB","no","BNC"
"BNC-1003","A4J4GGMKJ68L0","say",0,"modal","AB","no","BNC"
"BNC-1003","AA4KKLIU4C3NY","say",3,"modal","AB","no","BNC"
"BNC-1003","A110KENBXU7SUJ","say",-1,"modal","AB","no","BNC"
"BNC-1003","A1MJHGH55K3O0","say",0,"modal","AB","no","BNC"
"BNC-1003","AUAN582MLI96N","say",1,"modal","AB","no","BNC"
"BNC-1003","A2S4YDJ9UGAXFQ","say",0,"modal","AB","no","BNC"
"BNC-1003","A2EOOF9D135HQ1","say",0,"modal","AB","no","BNC"
"BNC-1003","A1F9KLZGHE9DTA","say",2,"modal","AB","no","BNC"
"BNC-1005","A32QJF67JMJFKX","say",2,"modal","AB","no","BNC"
"BNC-1005","A1GXFMAC759VRM","say",1,"modal","AB","no","BNC"
"BNC-1005","AXJ1PE87PD0KK","say",0,"modal","AB","no","BNC"
"BNC-1005","A36SM7QM8OK3H6","say",1,"modal","AB","no","BNC"
"BNC-1005","ASI2B6A3Y556Z","say",-1,"modal","AB","no","BNC"
"BNC-1005","AFKHZQ5SW7CSL","say",1,"modal","AB","no","BNC"
"BNC-1005","A1VQQETLYHKR8D","say",1,"modal","AB","no","BNC"
"BNC-1005","A5EU1AQJNC7F2","say",2,"modal","AB","no","BNC"
"BNC-1006","A2JP9IKRHNLRPI","say",3,"modal","AB","no","BNC"
"BNC-1006","A5EU1AQJNC7F2","say",1,"modal","AB","no","BNC"
"BNC-1006","A1EH9BPKYXFBS5","say",-2,"modal","AB","no","BNC"
"BNC-1006","A36SM7QM8OK3H6","say",-3,"modal","AB","no","BNC"
"BNC-1006","AZZDXA6TV6737","say",-3,"modal","AB","no","BNC"
"BNC-1006","A1MJVTR0PCKBWW","say",3,"modal","AB","no","BNC"
"BNC-1006","A4J4GGMKJ68L0","say",2,"modal","AB","no","BNC"
"BNC-1006","A10O5YR01H865K","say",1,"modal","AB","no","BNC"
"BNC-1006","A18LPAFMK1B06K","say",-1,"modal","AB","no","BNC"
"BNC-1006","A32QJF67JMJFKX","say",-1,"modal","AB","no","BNC"
"BNC-1010","A36SM7QM8OK3H6","say",3,"modal","AB","no","BNC"
"BNC-1010","A21KGSK2BDVWOA","say",2,"modal","AB","no","BNC"
"BNC-1010","A2YGAEODJ5SSF6","say",1,"modal","AB","no","BNC"
"BNC-1010","A11TREGDHSUSJW","say",1,"modal","AB","no","BNC"
"BNC-1010","A5EU1AQJNC7F2","say",1,"modal","AB","no","BNC"
"BNC-1010","A1945USNZHTROX","say",2,"modal","AB","no","BNC"
